# data collected Oct  4 2025 19:21:42
collect_time	raw_value	value	tare_value
80208134	90576	48.302628	48.302628
80299796	90828	48.611659	48.611659
80391462	90958	48.771080	48.771080
80483132	90965	48.779664	48.779664
80574796	91244	49.121805	49.121805
80666462	90649	48.392149	48.392149
80758130	90124	47.748335	47.748335
80849798	89674	47.196494	47.196494
80941464	89769	47.312994	47.312994
81033131	89803	47.354688	47.354688
81124793	89841	47.401288	47.401288
81216457	89886	47.456472	47.456472
81308120	90113	47.734845	47.734845
81399785	90134	47.760598	47.760598
81491448	90161	47.793708	47.793708
81583114	89913	47.489583	47.489583
81674778	89710	47.240641	47.240641
81766440	90110	47.731166	47.731166
81858104	90390	48.074534	48.074534
81949766	90741	48.504970	48.504970
82041430	90947	48.757590	48.757590
82133092	91006	48.829943	48.829943
82224756	90988	48.807869	48.807869
82316418	91475	49.405084	49.405084
82408082	91358	49.261605	49.261605
82499746	90952	48.763722	48.763722
82591410	91129	48.980779	48.980779
82683074	91274	49.158595	49.158595
82774734	91441	49.363389	49.363389
82866398	90986	48.805417	48.805417
82958060	91041	48.872864	48.872864
83141384	92175	50.263503	50.263503
83233050	92655	50.852133	50.852133
83324704	91700	49.681004	49.681004
83416364	91175	49.037190	49.037190
83508024	91300	49.190479	49.190479
83599680	91173	49.034737	49.034737
83691338	91063	48.899843	48.899843
83782996	91839	49.851461	49.851461
83966318	91670	49.644215	49.644215
84057978	91984	50.029277	50.029277
84149637	91494	49.428384	49.428384
84241292	91007	48.831169	48.831169
84332948	91184	49.048227	49.048227
84424606	91912	49.940982	49.940982
84516262	92130	50.208319	50.208319
84607918	92097	50.167850	50.167850
84699576	92712	50.922033	50.922033
84882897	93158	51.468968	51.468968
84974554	93545	51.943551	51.943551
85066210	93184	51.500852	51.500852
85157864	92794	51.022590	51.022590
85249520	92617	50.805533	50.805533
85341175	92635	50.827607	50.827607
85432833	92863	51.107206	51.107206
85524487	92875	51.121922	51.121922
85707799	93299	51.641878	51.641878
85799456	94085	52.605760	52.605760
85891111	94147	52.681792	52.681792
85982766	94050	52.562839	52.562839
86074418	94229	52.782349	52.782349
86166070	94549	53.174769	53.174769
86257723	94659	53.309664	53.309664
86349378	94733	53.400411	53.400411
86441030	94762	53.435974	53.435974
86624332	95571	54.428061	54.428061
86715984	95971	54.918586	54.918586
86807638	95771	54.673324	54.673324
86899291	95371	54.182799	54.182799
86990944	95901	54.832744	54.832744
87082594	96004	54.959055	54.959055
87174243	96105	55.082912	55.082912
87265895	96215	55.217807	55.217807
87357542	96324	55.351475	55.351475
87449192	96926	56.089715	56.089715
87540842	97298	56.545904	56.545904
87632494	96970	56.143673	56.143673
87724142	96642	55.741442	55.741442
87815792	96668	55.773326	55.773326
87907441	96619	55.713237	55.713237
87999091	96628	55.724274	55.724274
88090736	96907	56.066415	56.066415
88182384	97289	56.534867	56.534867
88274036	97716	57.058502	57.058502
88365682	98311	57.788159	57.788159
88457328	98915	58.528852	58.528852
88548976	98466	57.978237	57.978237
88640624	98115	57.547801	57.547801
88732274	98229	57.687601	57.687601
88823922	98368	57.858058	57.858058
