# data collected Oct  4 2025 19:21:42
collect_time	raw_value	value	tare_value
908758102	86709	43.560476	-11.580850
909033024	87234	44.204291	-10.937036
909124658	87063	43.994591	-11.146736
909216296	85801	42.446984	-12.694342
909307934	85071	41.551776	-13.589551
909399573	85465	42.034943	-13.106384
909491211	86062	42.767052	-12.374275
909582850	86452	43.245314	-11.896013
909949409	87467	44.490021	-10.651305
910041052	87459	44.480211	-10.661116
910132688	86264	43.014767	-12.126560
910224326	85253	41.774965	-13.366362
910315963	85194	41.702612	-13.438714
910407604	85617	42.221343	-12.919984
910774165	87271	44.249664	-10.891663
910865801	87661	44.727926	-10.413401
910957436	87123	44.068170	-11.073157
911049072	86150	42.874967	-12.266359
911140709	85495	42.071732	-13.069594
911232345	85188	41.695254	-13.446072
911323983	85511	42.091353	-13.049973
911690534	87576	44.623690	-10.517637
911782170	87556	44.599163	-10.542163
911873808	87207	44.171180	-10.970147
911965443	86538	43.350777	-11.790550
912057079	85739	42.370953	-12.770374
912148716	85204	41.714875	-13.426451
912240352	85240	41.759023	-13.382304
912331985	85685	42.304732	-12.836595
912515256	86810	43.684334	-11.456993
912606892	87469	44.492474	-10.648853
912698528	87186	44.145428	-10.995899
912790161	86806	43.679429	-11.461898
912881798	86352	43.122683	-12.018644
912973434	85689	42.309637	-12.831690
913065070	85210	41.722233	-13.419093
913156707	85121	41.613091	-13.528235
913431619	86906	43.802060	-11.339267
913614894	86934	43.836397	-11.304930
913706536	86551	43.366719	-11.774608
913798173	86377	43.153340	-11.987986
913889811	85834	42.487453	-12.653874
913981447	85370	41.918443	-13.222883
914256357	85820	42.470284	-12.671043
914347995	86668	43.510197	-11.631129
914439630	86566	43.385114	-11.756213
914531266	86373	43.148435	-11.992892
914622899	86325	43.089572	-12.051755
914714536	86191	42.925246	-12.216080
914806174	85925	42.599047	-12.542280
914897811	85433	41.995701	-13.145626
915172728	85721	42.348879	-12.792448
915264363	86382	43.159472	-11.981855
915356006	86324	43.088346	-12.052981
915447640	86318	43.080988	-12.060339
915539278	86433	43.222014	-11.919313
915630913	86433	43.222014	-11.919313
915722548	86251	42.998825	-12.142502
915997455	85119	41.610639	-13.530688
916089090	85448	42.014096	-13.127231
916180728	85735	42.366048	-12.775279
916272365	85878	42.541410	-12.599916
916364006	86138	42.860252	-12.281075
916455640	86214	42.953451	-12.187875
916547279	86196	42.931378	-12.209949
916638917	86049	42.751110	-12.390217
916913835	85264	41.788454	-13.352873
917005474	85474	42.045980	-13.095347
917097112	85087	41.571397	-13.569930
917188751	85137	41.632712	-13.508614
917280393	85611	42.213985	-12.927342
917372034	85975	42.660363	-12.480964
917463669	86193	42.927699	-12.213628
917738588	86367	43.141077	-12.000249
917830227	86332	43.098156	-12.043170
917921867	85523	42.106069	-13.035257
918013506	84859	41.291797	-13.849529
918105141	85107	41.595923	-13.545404
918196779	85558	42.148990	-12.992337
918288420	85914	42.585558	-12.555769
918380060	86230	42.973072	-12.168254
918654982	86776	43.642639	-11.498687
918746619	86570	43.390019	-11.751308
918838261	85692	42.313316	-12.828011
918929902	84849	41.279534	-13.861792
919021541	84680	41.072287	-14.069039
919113178	85132	41.626581	-13.514746
919204818	85549	42.137953	-13.003373
919479736	86298	43.056462	-12.084865
919571375	86476	43.274745	-11.866581
919663018	86135	42.856573	-12.284754
919754658	85705	42.329258	-12.812069
919846299	85115	41.605734	-13.535593
919937941	84603	40.977861	-14.163465
920029582	84415	40.747315	-14.394012
920121220	84799	41.218219	-13.923108
920396141	86353	43.123909	-12.017418
920487781	87036	43.961481	-11.179846
920579424	86661	43.501613	-11.639713
920671063	86138	42.860252	-12.281075
920762700	85758	42.394253	-12.747074
920854339	85190	41.697707	-13.443620
920945977	84757	41.166714	-13.974613
921037618	84676	41.067382	-14.073945
921312539	86979	43.891581	-11.249746
921404178	87289	44.271738	-10.869589
921495815	86697	43.545761	-11.595566
921587454	86373	43.148435	-11.992892
921679091	86332	43.098156	-12.043170
921770729	85980	42.666494	-12.474832
921862368	85444	42.009190	-13.132136
922137282	86006	42.698378	-12.442948
922228922	86815	43.690465	-11.450861
922320561	86634	43.468503	-11.672824
922412202	86399	43.180319	-11.961007
922503839	86524	43.333608	-11.807718
922595477	86552	43.367945	-11.773382
922687120	86299	43.057688	-12.083639
923053679	86179	42.910530	-12.230796
923145318	86759	43.621792	-11.519535
923236959	86667	43.508971	-11.632356
923328595	86398	43.179093	-11.962234
923420234	86393	43.172961	-11.968365
923511871	86458	43.252672	-11.888655
923603511	86410	43.193809	-11.947518
923878425	85548	42.136727	-13.004600
923970066	85642	42.252000	-12.889326
924061705	85633	42.240964	-12.900363
924153346	85742	42.374632	-12.766695
924244987	86014	42.708189	-12.433138
924336627	86195	42.930151	-12.211175
924428266	86243	42.989014	-12.152312
924794814	86095	42.807520	-12.333807
924886452	85845	42.500942	-12.640385
924978089	85122	41.614318	-13.527009
925069727	85072	41.553002	-13.588325
925161366	85443	42.007964	-13.133363
925253006	85797	42.442079	-12.699248
925619552	86338	43.105514	-12.035812
925711189	85979	42.665268	-12.476059
925802828	85007	41.473292	-13.668035
925894468	84514	40.868719	-14.272607
925986106	84974	41.432823	-13.708503
926077742	85543	42.130595	-13.010731
926169381	85887	42.552447	-12.588880
926535944	86820	43.696597	-11.444730
926627583	86678	43.522461	-11.618866
926719222	85631	42.238511	-12.902816
926810860	84846	41.275855	-13.865471
926902497	85090	41.575076	-13.566251
926994136	85649	42.260585	-12.880742
927085775	85953	42.633384	-12.507943
927360692	86683	43.528592	-11.612735
927452330	86829	43.707634	-11.433693
927543969	86062	42.767052	-12.374275
927635604	85254	41.776191	-13.365136
927727243	84828	41.253782	-13.887545
927818882	84629	41.009745	-14.131581
927910520	85135	41.630260	-13.511067
928002157	85569	42.162480	-12.978847
928277074	86776	43.642639	-11.498687
928368713	87039	43.965160	-11.176167
928460352	86313	43.074856	-12.066470
928551990	85354	41.898822	-13.242504
928643629	84886	41.324908	-13.816419
928735268	84473	40.818441	-14.322886
928826907	84746	41.153224	-13.988103
929101823	86467	43.263709	-11.877618
929193460	86858	43.743197	-11.398130
929285097	86556	43.372850	-11.768476
929376734	86138	42.860252	-12.281075
929468367	85962	42.644421	-12.496906
929560006	85484	42.058243	-13.083084
929651639	84965	41.421787	-13.719540
930018194	85556	42.146538	-12.994789
930109833	85965	42.648100	-12.493227
930201472	85256	41.778644	-13.362683
930293112	84883	41.321229	-13.820098
930384752	85217	41.730817	-13.410509
930476387	85635	42.243416	-12.897910
930842946	86384	43.161925	-11.979402
930934585	86608	43.436619	-11.704708
931026225	85614	42.217664	-12.923663
931117861	84654	41.040403	-14.100923
931392776	85391	41.944196	-13.197131
931484413	85766	42.404063	-12.737263
931759332	86673	43.516329	-11.624998
931850968	87088	44.025249	-11.116078
931942607	86251	42.998825	-12.142502
932034248	85147	41.644976	-13.496351
932125889	84708	41.106624	-14.034702
932217530	84322	40.633267	-14.508059
932309167	84725	41.127472	-14.013855
932584088	86802	43.674523	-11.466803
932675730	87198	44.160143	-10.981183
932767370	86347	43.116551	-12.024776
932859009	85815	42.464153	-12.677174
932950644	85361	41.907407	-13.233920
933042280	84754	41.163035	-13.978292
933133916	84341	40.656567	-14.484759
933500473	87508	44.540300	-10.601026
933592112	87972	45.109309	-10.032017
933683751	86853	43.737065	-11.404261
933775388	86238	42.982883	-12.158444
933867030	86090	42.801389	-12.339938
933958663	85473	42.044754	-13.096573
934050301	84900	41.342076	-13.799250
934325221	85881	42.545089	-12.596237
934508502	86214	42.953451	-12.187875
934600141	85961	42.643194	-12.498132
934691782	85983	42.670173	-12.471154
934783421	85857	42.515658	-12.625669
935241615	85748	42.381990	-12.759337
935333251	86466	43.262482	-11.878844
935424888	86120	42.838178	-12.303149
935516527	85881	42.545089	-12.596237
935608168	86005	42.697152	-12.444175
935699807	85942	42.619894	-12.521432
936066367	85258	41.781096	-13.360230
936158030	85981	42.667721	-12.473606
936249645	85953	42.633384	-12.507943
936341281	85864	42.524242	-12.617085
936432917	86117	42.834499	-12.306828
936524558	86316	43.078535	-12.062791
936616197	86245	42.991467	-12.149860
936982749	85195	41.703839	-13.437488
937074388	85614	42.217664	-12.923663
937166028	85697	42.319448	-12.821879
937257668	85656	42.269169	-12.872158
937349309	85653	42.265490	-12.875837
937440952	85730	42.359916	-12.781411
937532594	85828	42.480095	-12.661232
937624237	85710	42.335390	-12.805937
937807519	84969	41.426692	-13.714635
937899160	85025	41.495365	-13.645961
937990802	84563	40.928809	-14.212518
938082443	84465	40.808630	-14.332697
938174083	84903	41.345755	-13.795571
938265724	85257	41.779870	-13.361457
938357363	85406	41.962591	-13.178736
938723925	86185	42.917888	-12.223438
938815566	85567	42.160027	-12.981300
938907205	84704	41.101719	-14.039608
938998840	84387	40.712978	-14.428349
939090478	84789	41.205956	-13.935371
939182119	85207	41.718554	-13.422772
939273760	85549	42.137953	-13.003373
939548675	86989	43.903844	-11.237483
939640314	87032	43.956575	-11.184751
939731953	85593	42.191911	-12.949416
939823592	84680	41.072287	-14.069039
939915233	84426	40.760804	-14.380523
940006876	84358	40.677415	-14.463912
940098516	84702	41.099266	-14.042060
940465082	86973	43.884223	-11.257104
940556723	87380	44.383332	-10.757994
940648364	86072	42.779315	-12.362012
940740008	84961	41.416881	-13.724445
940831646	84669	41.058798	-14.082529
940923284	84343	40.659020	-14.482307
941014924	84521	40.877304	-14.264023
941289842	86567	43.386340	-11.754987
941381483	87294	44.277869	-10.863457
941473122	86567	43.386340	-11.754987
941564761	86038	42.737620	-12.403706
941656402	85689	42.309637	-12.831690
941748044	85147	41.644976	-13.496351
941839678	84510	40.863814	-14.277512
942206227	85852	42.509526	-12.631801
942297864	85859	42.518110	-12.623216
942389499	85377	41.927028	-13.214299
942481131	85140	41.636391	-13.504935
942572765	85455	42.022680	-13.118647
942664399	85816	42.465379	-12.675948
942756038	85902	42.570842	-12.570485
943030943	86426	43.213430	-11.927897
943122583	86354	43.125135	-12.016191
943214224	85396	41.950327	-13.190999
943305863	84641	41.024461	-14.116865
943397506	84711	41.110303	-14.031024
943489146	85110	41.599602	-13.541725
943580790	85608	42.210306	-12.931021
943947347	86821	43.697823	-11.443503
944038988	86944	43.848660	-11.292667
944130628	85929	42.603952	-12.537374
944222269	84995	41.458576	-13.682751
944313910	84332	40.645531	-14.495796
944405546	84496	40.846646	-14.294681
944497184	84875	41.311418	-13.829908
944588823	85160	41.660918	-13.480409
944772102	84900	41.342076	-13.799250
944863741	85527	42.110974	-13.030352
944955380	85579	42.174743	-12.966584
945047023	85482	42.055790	-13.085536
945138660	85382	41.933159	-13.208168
945230298	85480	42.053338	-13.087989
945321937	85862	42.521789	-12.619537
945413576	86115	42.832046	-12.309280
945688494	86993	43.908749	-11.232578
945780131	87012	43.932049	-11.209278
945871770	86261	43.011088	-12.130239
945963407	85528	42.112201	-13.029126
946055051	84985	41.446313	-13.695014
946146681	84901	41.343303	-13.798024
946238319	85328	41.866938	-13.274388
946513239	86854	43.738292	-11.403035
946604876	87042	43.968838	-11.172488
946696513	86512	43.318893	-11.822434
946788150	86105	42.819783	-12.321543
946879788	85757	42.393026	-12.748300
946971425	85324	41.862033	-13.279294
947063065	84956	41.410750	-13.730577
947429625	87324	44.314659	-10.826668
947521265	87676	44.746321	-10.395006
947612905	86807	43.680655	-11.460672
947704543	86252	43.000051	-12.141275
947796182	86084	42.794031	0.518730
947887819	85634	42.242190	-0.033110
947979456	85376	41.925801	-0.349499
948254378	86875	43.764044	1.488744
948346020	87692	44.765942	2.490642
948620935	86308	43.068725	0.793424
948712574	86215	42.954678	0.679377
948804212	85776	42.416326	0.141026
949170765	85817	42.466605	0.191305
949262405	86686	43.532271	1.256971
949354048	86248	42.995146	0.719846
949445685	85879	42.542637	0.267336
949537324	86037	42.736394	0.461094
949628962	85932	42.607631	0.332331
949995524	85251	41.772512	-0.502788
950087160	85868	42.529147	0.253847
950178797	85893	42.559805	0.284505
950270434	86017	42.711868	0.436567
950362072	86158	42.884778	0.609478
950453709	86228	42.970620	0.695319
950545350	86295	43.052783	0.777482
950911917	85658	42.271621	-0.003679
951003557	85977	42.662815	0.387515
951095194	85682	42.301053	0.025753
951186833	85682	42.301053	0.025753
951278471	85968	42.651778	0.376478
951370112	86070	42.776862	0.501562
951736671	86033	42.731489	0.456188
951828315	85610	42.212758	-0.062542
951919958	84992	41.454897	-0.820403
952011600	84831	41.257461	-1.017840
952103238	85215	41.728365	-0.546936
952194879	85589	42.187006	-0.088295
952286517	85669	42.285111	0.009811
952653082	87078	44.012986	1.737685
952744720	87091	44.028928	1.753627
952836361	85508	42.087675	-0.187626
952928004	84603	40.977861	-1.297439
953019638	84467	40.811083	-1.464218
953111277	84663	41.051440	-1.223860
953202917	85021	41.490460	-0.784840
953569480	86810	43.684334	1.409034
953752753	86000	42.691020	0.415720
953844392	84958	41.413202	-0.862098
954394228	86332	43.098156	0.822856
954485866	86727	43.582550	1.307250
954577505	86125	42.844310	0.569009
954669144	85661	42.275300	0.000000
954760780	85307	41.841186	-0.434115
954852419	84917	41.362924	-0.912377
955218973	85510	42.090127	-0.185173
955310615	85942	42.619894	0.344594
