collect_time	raw_value	value	tare_value
2450604911	63169	14.693071	-0.298905
2450696536	63209	14.742123	-0.249852
2450788163	63138	14.655055	-0.336921
2450879789	63094	14.601097	-0.390878
2450971414	63167	14.690618	-0.301358
2451063044	63154	14.674676	-0.317300
2451154669	63238	14.777686	-0.214289
2451246299	63243	14.783818	-0.208158
2451337927	63347	14.911354	-0.080621
2451429555	63345	14.908902	-0.083074
2451521184	65098	17.058628	2.066653
2451612810	143440	113.130433	98.138458
2451704438	338840	352.751974	337.759999
2451796064	389931	415.405527	400.413551
2451887689	389553	414.941980	399.950005
2451979317	394752	421.317581	406.325606
2452070943	396763	423.783696	408.791721
2452162570	398412	425.805886	410.813911
2452254197	403949	432.595981	417.604005
2452345825	406206	435.363769	420.371793
2452437450	401926	430.115150	415.123174
2452529079	389425	414.785012	399.793037
2452620707	378192	401.009840	386.017864
2452712333	369284	390.085844	375.093869
2452803961	365310	385.212477	370.220501
2452895592	362109	381.287049	366.295074
2452987220	357847	376.060504	361.068528
2453078849	352816	369.890923	354.898948
2453170478	346319	361.923568	346.931593
2453262109	336634	350.046728	335.054752
2453353739	327815	339.231875	324.239899
2453445369	307757	314.634490	299.642515
2453537006	250544	244.473450	229.481475
2453628630	189451	169.554316	154.562341
2453720260	145791	116.013495	101.021519
2453811887	117127	80.862462	65.870486
2453903515	104969	65.952950	50.960974
2453995145	94227	52.779897	37.787921
2454086771	83088	39.119997	24.128022
2454178398	73895	27.846503	12.854527
2454270030	65832	17.958742	2.966766
2454361654	60821	11.813688	-3.178288
2454453283	59424	10.100529	-4.891447
2454544910	59384	10.051476	-4.940499
2454636536	59416	10.090718	-4.901257
2454728162	59394	10.063739	-4.928236
2454819790	59478	10.166750	-4.825226
2454911417	59553	10.258723	-4.733252
