collect_time	raw_value	value
287607016	84373	40.695809	-14.445517
287698652	84261	40.558462	-14.582864
287790292	84250	40.544973	-14.596354
287881932	84957	41.411976	-13.729351
287973571	85455	42.022680	-13.118647
288065214	84691	41.085777	-14.055550
288156854	83710	39.882764	-15.258563
288248494	83762	39.946532	-15.194795
288340134	84006	40.245753	-14.895574
288431772	84043	40.291126	-14.850201
288523413	83866	40.074069	-15.067258
288615054	84003	40.242074	-14.899253
288706698	88772	46.090360	-9.050967
288798340	157216	130.024120	74.882793
288889978	265315	262.587318	207.445992
288981620	286812	288.949367	233.808040
289073261	283779	285.229960	230.088633
289164901	278517	278.777101	223.635774
289256544	273032	272.050775	216.909448
289348184	267026	264.685540	209.544213
289439826	261223	257.569246	202.427919
289531468	256055	251.231661	196.090334
289623108	250949	244.970107	189.828780
289714748	245187	237.904092	182.762765
289806389	236978	227.837290	172.695963
289898034	230391	219.759566	164.618240
289989672	223172	210.906814	155.765487
290081312	215128	201.042353	145.901026
290172952	207023	191.103087	135.961760
290264594	200110	182.625586	127.484259
290356233	193933	175.050651	119.909324
290447875	188147	167.955204	112.813878
290539515	183040	161.692424	106.551098
290631154	167792	142.993605	87.852279
290722792	133570	101.026725	45.885398
290814432	110912	73.240927	18.099601
290906072	97353	56.613351	1.472024
290997712	91418	49.335184	-5.806143
291089352	90244	47.895492	-7.245834
291180989	89531	47.021131	-8.120195
291272632	89152	46.556359	-8.584968
291364276	89985	47.577877	-7.563449
291455916	90341	48.014445	-7.126882
291547560	89396	46.855579	-8.285748
291639200	88755	46.069512	-9.071814
291730842	89029	46.405522	-8.735804
291822483	89116	46.512211	-8.629115
291914123	88818	46.146770	-8.994556
292005762	88759	46.074418	-9.066909
292097402	89328	46.772190	-8.369137
292189050	89693	47.219794	-7.921533
292280684	89843	47.403741	-7.737586
292372324	89521	47.008868	-8.132459
292463962	89841	47.401288	-7.740038
292555604	89905	47.479772	-7.661554
292647245	89690	47.216115	-7.925212
292738883	89740	47.277431	-7.863896
292830523	89872	47.439304	-7.702023
292922164	89497	46.979437	-8.161890
293013806	89081	46.469291	-8.672036
293105446	89584	47.086126	-8.055201
293197086	90481	48.186129	-6.955198
293288726	89547	47.040752	-8.100574
293380367	88909	46.258365	-8.882962
293472012	89196	46.610316	-8.531010
293563648	89287	46.721911	-8.419416
293655289	89110	46.504854	-8.636473
293746927	89186	46.598053	-8.543273
293838570	89663	47.183005	-7.958322
293930210	90067	47.678435	-7.462892
294021852	89916	47.493262	-7.648065
294113492	89373	46.827374	-8.313953
294205132	89121	46.518343	-8.622984
294296776	89082	46.470517	-8.670810
294388416	88664	45.957918	-9.183409
294480059	88708	46.011876	-9.129451
294571701	89261	46.690027	-8.451300
294663343	89140	46.541643	-8.599684
294754985	88936	46.291475	-8.849852
294846628	89815	47.369404	-7.771923
294938268	90331	48.002182	-7.139145
295029910	89401	46.861711	-8.279616
295121552	88219	45.412209	-9.729118
295213192	88271	45.475977	-9.665350
295304832	88433	45.674640	-9.466687
295396472	88314	45.528709	-9.612618
295488114	88222	45.415888	-9.725439
295579755	88413	45.650113	-9.491213
295671397	88407	45.642756	-9.498571
295763040	88192	45.379098	-9.762228
295854677	87755	44.843200	-10.298127
295946318	87395	44.401727	-10.739600
296037958	87574	44.621237	-10.520090
296129599	87756	44.844426	-10.296901
296221240	87472	44.496153	-10.645174
296312878	87072	44.005628	-11.135699
296404518	87172	44.128259	-11.013068
296496160	87759	44.848105	-10.293222
296587800	88199	45.387683	-9.753644
296679440	88477	45.728598	-9.412729
296771079	87558	44.601616	-10.539711
296862717	87356	44.353901	-10.787426
296954355	87441	44.458137	-10.683189
297045995	87080	44.015438	-11.125888
297137633	86848	43.730934	-11.410393
297229272	86814	43.689239	-11.452088
297320912	87402	44.410311	-10.731016
297412550	87638	44.699721	-10.441606
297504188	87868	44.981773	-10.159554
297595828	87308	44.295038	-10.846289
297687468	87117	44.060812	-11.080515
297779106	87069	44.001949	-11.139378
297870746	86764	43.627924	-11.513403
297962382	86651	43.489350	-11.651977
298054024	87097	44.036286	-11.105041
298145660	87028	43.951670	-11.189657
298237298	86925	43.825360	-11.315967
298328936	86977	43.889128	-11.252199
298420575	87490	44.518227	-10.623100
298512215	87376	44.378427	-10.762900
298603853	86698	43.546987	-11.594340
298695491	86265	43.015993	-12.125333
298787129	86416	43.201167	-11.940160
298878772	86771	43.636508	-11.504819
298970410	86536	43.348324	-11.793003
299062052	86231	42.974299	-12.167028
299153690	86266	43.017220	-12.124107
299245331	87071	44.004402	-11.136925
299336970	87255	44.230043	-10.911284
299428610	86825	43.702729	-11.438598
299520248	86804	43.676976	-11.464351
299611888	87542	44.581995	-10.559332
299703528	87942	45.072520	-10.068807
299795168	87929	45.056578	-10.084749
299886804	88164	45.344762	-9.796565
299978446	88860	46.198275	-8.943051
300070086	89411	46.873974	-8.267353
300161727	89407	46.869069	-8.272258
300253365	88649	45.939523	-9.201803
300345010	88490	45.744540	-9.396787
300436649	88548	45.815666	-9.325661
300528287	88258	45.460035	-9.681292
300619925	88265	45.468619	-9.672708
300711565	88721	46.027818	-9.113509
300803205	89050	46.431275	-8.710052
300894843	89081	46.469291	-8.672036
300986482	89660	47.179326	-7.962001
301078122	90487	48.193486	-6.947840
301169758	91107	48.953800	-6.187526
301261394	91664	49.636857	-5.504470
301353038	92565	50.741765	-4.399562
301444678	92941	51.202858	-3.938468
301536318	92912	51.167295	-3.974031
301627954	97970	57.369986	2.228659
301719594	174583	151.321496	96.180169
301811234	156959	129.708958	74.567631
301902874	80074	35.423890	-19.717436
301994514	76998	31.651752	-23.489575
302086154	76643	31.216411	-23.924916
302177796	77062	31.730236	-23.411091
302269436	77211	31.912956	-23.228370
302361076	76907	31.540157	-23.601169
302452716	77225	31.930125	-23.211202
